learn_id,learning_name,num_learnning_str,number,from_language
ru,Russian,"1,24 Mn",1244879,Turkish
pt,Portuguese,67.8K,67850,Bengali
ja,Japanese,368 Mila,368235,Italian
fi,Finnish,983K,982871,English
fr,French,274 K,274060,Romanian
ja,Japanese,788 ألف,788167,Arabic
fr,French,3.88 مليون,3883790,Arabic
ht,Haitian Creole,466K,465763,English
it,Italian,373K,372918,Dutch
de,German,"3,15 млн",3153351,Russian
ko,Korean,231 Mila,231416,Italian
ko,Korean,255 tys.,255021,Polish
en,English,2.98 ล.,2982867,Thai
fr,French,23.6M,23638288,English
eo,Esperanto,"19,2 k",19181,French
de,German,269 K,269128,Romanian
pt,Portuguese,147K,147301,Dutch
es,Spanish,347 tn,346758,Swedish
es,Spanish,280K,279514,Tagalog
vi,Vietnamese,1.97M,1972660,English
en,English,"11,0 Tr",10969000,Vietnamese
en,English,"1,66 mln.",1656669,Dutch
zh-CN,Chinese,209K,209013,Bengali
fr,French,50.5万,505072,Japanese
ja,Japanese,572 B,572082,Turkish
it,Italian,4.51L,450651,Hindi
ko,Korean,"1,41 млн",1405836,Russian
zh-CN,Chinese,"42,2 E",42163,Hungarian
pt,Portuguese,111 B,111242,Turkish
de,German,836 tys.,836337,Polish
pt,Portuguese,2.49 ม.,24898,Thai
zh-CN,Chinese,107万,1068929,Japanese
zh-CN,Chinese,"1,09M",1088785,Indonesian
de,German,161 tn,161378,Swedish
it,Italian,"2,47 mi",2467854,Portuguese
en,English,"8,97M",8974752,Indonesian
es,Spanish,"1,66 млн",1661823,Russian
ko,Korean,943K,943148,Indonesian
en,English,2600万,26011109,Chinese
zh-CN,Chinese,31.5K,31549,Tamil
zh-CN,Chinese,6.01 ส.,600798,Thai
ja,Japanese,340 tys.,340182,Polish
ko,Korean,1.87 ส.,187230,Thai
fr,French,27.8만,277814,Korean
en,English,"1,37 M",1366399,Hungarian
ja,Japanese,213만,2125726,Korean
pt,Portuguese,11.9K,11887,Tamil
zh-CN,Chinese,122K,122118,Dutch
it,Italian,11.1M,11080410,English
en,English,,0,Marathi
en,English,,0,Gujarati
en,English,762万,7620113,Japanese
pt,Portuguese,"28,2 χιλ.",28159,Greek
pt,Portuguese,264 Mila,263966,Italian
ja,Japanese,10.3L,1027887,Hindi
pt,Portuguese,"37,9 tis.",37928,Czech
en,English,"2,23 млн",2226137,Ukrainian
it,Italian,25.0K,24960,Telugu
fr,French,187K,187412,Indonesian
eo,Esperanto,"36,4K",36364,Spanish
es,Spanish,"5,54 M",5544230,French
it,Italian,823 тыс.,822674,Russian
en,English,"4,66 Mln",4656537,Italian
ja,Japanese,951 N,950796,Vietnamese
es,Spanish,806 B,806319,Turkish
